wavelength	dark	noise	dark+noise
203.40957	0.000127196000 	0.000032507300 	0.000159703000 
203.41056	0.000131076000 	0.000032538400 	0.000163614000 
203.41156	0.000128227000 	0.000032480200 	0.000160707000 
203.41256	0.000124993000 	0.000032474500 	0.000157467000 
203.41356	0.000109894000 	0.000032503000 	0.000142397000 
203.41455	0.000075436600 	0.000032654200 	0.000108091000 
203.41555	0.000042429300 	0.000033070200 	0.000075499500 
203.41655	0.000054972400 	0.000033527300 	0.000088499700 
203.41755	0.000073979400 	0.000033910200 	0.000107890000 
203.41854	0.000073882800 	0.000034018500 	0.000107901000 
203.41954	0.000053289600 	0.000034009700 	0.000087299300 
203.42054	0.000065547200 	0.000033935900 	0.000099483100 
203.42154	0.000088508700 	0.000033731400 	0.000122240000 
203.42253	0.000101817000 	0.000033275600 	0.000135092000 
