Wavelength	Xsec_Ave	STTDEV_Xsec_Ave
191.1029		
191.10378		
191.10466		
191.10554		
191.10642		
191.1073		
191.10818		
191.10906		
191.10994		
191.11082		
191.1117		
191.11258		
191.11346		
191.11435		
191.11523		
191.11611		
191.11699		
191.11787		
191.11875		
191.11963		
191.12051		
191.12139		
191.12227		
191.12315		
191.12403		
191.12491		
191.12579		
191.12667		
191.12755		
191.12843		
191.12932		
191.1302		
191.13108		
191.13196		
191.13284		
191.13372		
191.1346		
191.13548		
191.13636		
191.13724		
191.13812		
191.139		
191.13988		
191.14077		
191.14165		
191.14253		
191.14341		
191.14429		
191.14517		
191.14605		
191.14693		
191.14781		
191.14869		
191.14957		
191.15045		
191.15134		
191.15222		
191.1531		
191.15398		
191.15486		
191.15574		
191.15662		
191.1575		
191.15838		
191.15926		
191.16014		
191.16103		
191.16191		
191.16279		
191.16367		
191.16455		
191.16543		
191.16631		
191.16719		
191.16807		
191.16896		
191.16984		
191.17072		
191.1716		
191.17248		
191.17336		
191.17424		
191.17512		
191.176		
191.17689		
191.17777		
191.17865		
191.17953		
191.18041		
191.18129		
191.18217		
191.18305		
191.18393		
191.18482		
191.1857		
191.18658		
191.18746		
191.18834		
191.18922		
191.1901		
191.19098		
191.19187		
191.19275		
191.19363		
191.19451		
191.19539		
191.19627		
191.19715		
191.19803		
191.19892		
191.1998		
191.20068		
191.20156		
191.20244		
191.20332		
191.2042		
191.20509		
191.20597		
191.20685		
191.20773		
191.20861		
191.20949		
191.21037		
191.21126		
191.21214		
191.21302		
191.2139		
191.21478		
191.21566		
191.21654		
191.21743		
191.21831		
191.21919		
191.22007		
191.22095		
191.22183		
191.22271		
191.2236		
191.22448		
191.22536		
191.22624		
191.22712		
191.228		
191.22889		
191.22977		
191.23065		
191.23153		
191.23241		
191.23329		
191.23418		
191.23506		
191.23594		
191.23682		
191.2377		
191.23858		
191.23947		
191.24035		
191.24123		
191.24211		
191.24299		
191.24387		
191.24476		
191.24564	4.1027081455321695e-18	
191.24652		
191.2474		
191.24828		
191.24917		
191.25005		
191.25093		
191.25181		
191.25269		
191.25357		
191.25446		
191.25534		
191.25622		
191.2571		
191.25798		
191.25887		
191.25975		
191.26063		
191.26151		
191.26239		
191.26328		
191.26416		
191.26504		
191.26592		
191.2668		
191.26768		
191.26857		
191.26945		
191.27033		
191.27121		
191.27209		
191.27298		
191.27386		
191.27474		
191.27562		
191.27651		
191.27739		
191.27827		
191.27915		
191.28003		
191.28092		
191.2818		
191.28268		
191.28356		
191.28444		
191.28533		
191.28621		
191.28709		
191.28797		
191.28885		
191.28974		
191.29062		
191.2915		
191.29238		
191.29327		
191.29415		
191.29503		
191.29591		
191.29679		
191.29768		
191.29856		
191.29944		
191.30032		
191.30121		
191.30209		
191.30297		
191.30385		
191.30473		
191.30562		
191.3065		
191.30738		
191.30826		
191.30915		
191.31003		
191.31091		
191.31179		
191.31268		
191.31356		
191.31444		
191.31532		
191.31621		
191.31709		
191.31797		
191.31885		
191.31974		
191.32062		
191.3215		
191.32238		
191.32327		
191.32415		
191.32503		
191.32591		
191.3268		
191.32768		
191.32856		
191.32944		
191.33033		
191.33121		
191.33209		
191.33297		
191.33386		
191.33474		
191.33562		
191.3365		
191.33739		
191.33827		
191.33915		
191.34003		
191.34092		
191.3418		
191.34268		
191.34356		
191.34445		
191.34533		
191.34621		
191.3471		
191.34798		
191.34886		
191.34974		
191.35063		
191.35151		
191.35239		
191.35327		
191.35416		
191.35504		
191.35592		
191.35681		
191.35769		
191.35857		
191.35945		
191.36034		
191.36122		
191.3621		
191.36299		
191.36387		
191.36475		
191.36563		
191.36652		
191.3674		
191.36828		
191.36917		
191.37005		
191.37093		
191.37181		
191.3727		
191.37358		
191.37446		
191.37535		
191.37623		
191.37711		
191.37799		
191.37888		
191.37976		
191.38064		
191.38153		
191.38241		
191.38329		
191.38418		
191.38506		
191.38594		
191.38683		
191.38771		
191.38859		
191.38947		
191.39036		
191.39124		
191.39212		
191.39301		
191.39389		
191.39477		
191.39566		
191.39654		
191.39742		
191.39831		
191.39919		
191.40007		
191.40096		
191.40184		
191.40272		
191.4036		
191.40449		
191.40537		
191.40625		
191.40714		
191.40802		
191.4089		
191.40979		
191.41067		
191.41155		
191.41244		
191.41332		
191.4142		
191.41509		
191.41597		
191.41685		
191.41774		
191.41862		
191.4195		
191.42039		
191.42127		
191.42215		
191.42304		
191.42392		
191.4248		
191.42569		
191.42657		
191.42745		
191.42834		
191.42922		
191.43011		
191.43099		
191.43187		
191.43276		
191.43364		
191.43452		
191.43541		
191.43629		
191.43717		
191.43806		
191.43894		
191.43982		
191.44071		
191.44159		
191.44247		
191.44336		
191.44424		
191.44513		
191.44601		
191.44689		
191.44778		
191.44866		
191.44954		
191.45043		
191.45131		
191.45219		
191.45308		
191.45396		
191.45485		
191.45573		
191.45661		
191.4575		
191.45838		
191.45926		
191.46015		
191.46103		
191.46192		
191.4628		
191.46368		
191.46457		
191.46545		
191.46633		
191.46722		
191.4681		
191.46899		
191.46987		
191.47075		
191.47164		
191.47252		
191.47341		
191.47429		
191.47517		
191.47606		
191.47694		
191.47782		
191.47871		
191.47959		
191.48048		
191.48136		
191.48224		
191.48313		
191.48401		
191.4849		
191.48578		
191.48666		
191.48755		
191.48843		
191.48932		
191.4902		
191.49108		
191.49197		
191.49285		
191.49374		
191.49462		
191.4955		
191.49639		
191.49727		
191.49816		
191.49904		
191.49992		
191.50081		
191.50169		
191.50258		
191.50346		
191.50435		
191.50523		
191.50611		
191.507		
191.50788		
191.50877		
191.50965		
191.51053		
191.51142		
191.5123		
191.51319		
191.51407		
191.51496		
191.51584		
191.51672		
191.51761		
191.51849		
191.51938		
191.52026		
191.52115		
191.52203		
191.52291		
191.5238		
191.52468		
191.52557		
191.52645		
191.52734		
191.52822		
191.52911		
191.52999		
191.53087		
191.53176		
191.53264		
191.53353		
191.53441		
191.5353		
191.53618		
191.53706		
191.53795		
191.53883		
191.53972		
191.5406		
191.54149		
191.54237		
191.54326		
191.54414		
191.54503		
191.54591		
191.54679		
191.54768		
191.54856		
191.54945		
191.55033		
191.55122		
191.5521		
191.55299		
191.55387		
191.55476		
191.55564		
191.55652		
191.55741		
191.55829		
191.55918		
191.56006		
191.56095		
191.56183		
191.56272		
191.5636		
191.56449		
191.56537		
191.56626		
191.56714		
191.56803		
191.56891		
191.5698		
191.57068		
191.57156		
191.57245		
191.57333		
191.57422		
191.5751		
191.57599		
191.57687		
191.57776		
191.57864		
191.57953		
191.58041		
191.5813		
191.58218		
191.58307		
191.58395		
191.58484		
191.58572		
191.58661		
191.58749		
191.58838		
191.58926		
191.59015		
191.59103		
191.59192		
191.5928		
191.59369		
191.59457		
191.59546		
191.59634		
191.59723		
191.59811		
191.599		
191.59988		
191.60077	6.849282126778263e-18	
191.60165	6.5671083725645536e-18	
191.60254	9.271274634419184e-18	4.769707515031618e-18
191.60342	1.3517301952865612e-17	
191.60431		
191.60519		
191.60608		
191.60696		
191.60785		
191.60873		
191.60962		
191.6105		
191.61139		
191.61227		
191.61316		
191.61404		
191.61493		
191.61581		
191.6167		
191.61758		
191.61847		
191.61935		
191.62024		
191.62113		
191.62201		
191.6229		
191.62378		
191.62467		
191.62555		
191.62644		
191.62732		
191.62821		
191.62909		
191.62998		
191.63086		
191.63175		
191.63263		
191.63352		
191.6344		
191.63529		
191.63618		
191.63706		
191.63795		
191.63883		
191.63972		
191.6406		
191.64149		
191.64237		
